Unique_No,Marca temporal,What is your gender?,What is your age? ,What is your height?,What_is_your_ape_index,How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How_many_years_have_you_been_climbing,Is/was any of your parents a climber?,Why do you climb? ,On_average_how_many_days_do_you_climb_in_a_week,How many of those are indoors?,How_many_of_those_do_you_consider_training_sessions?,"In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What_is_your_hardest_indoor_onsight/flash_boulder_grade,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,flash_confidence,send_confidence,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_flash_that? ,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_send_that? ,What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,How_do_you_project?,
104,07/02/2020 16:26,Male,25,178,2,75,Study and work,Oceania,Australia,Never,Trip that might have some climbing,Both rather equally,Both rather equally,0.5,No,"For the social part of climbing, The places it takes you, For the challenge",5,3,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V6,V3,V4,V4,V6,V4,V6,Stretch and warmup (before climbing),4,5.9 / 6a,5.10a / 6a+,5.8 / Fr(5) or lower,5.10a / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
107,07/02/2020 18:16,Male,23,174,4,65,Study,Oceania,Australia ,Around once a year,Mainly climbing trip but something else as well,Outdoor climber,Both rather equally,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",1,0,0,Follow a training program by myself,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strength, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,Stretch and warmup (before climbing),V4,V5,V3,V5,V1,V3,V1,V3,Stretch and warmup (before climbing),3,5.10d / 6b+,5.10c / 6b,5.10c / 6b,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
112,07/02/2020 20:03,Female,21,170,-10,56,Study and work,Europe,Switzerland,Around once per month,Trip that might have some climbing,Both rather equally,Boulderer,3,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge, Wintertraining for other sport (sailing)",2,2,2,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Core strength, Power endurance, Trying more/different routes/problems, Flexibility, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V6,V5,V6,V4,V4,V4,V4,Stretch and warmup (before climbing),5,5.10c / 6b,5.11b / 6c,5.8 / Fr(5) or lower,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
113,07/02/2020 20:50,Male,23,170,0,70,Study,Europe,Switzerland,Never,Completely non-climbing trip,Indoor climber,Both rather equally,3,No,"Fun of the activity in itself, Health, For the social part of climbing",1,1,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area",I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V6,V4,V5,V3,V4,V3,V4,Stretch and warmup (before climbing),6,5.10c / 6b,5.11c / 6c+,5.10a / 6a+,5.10d / 6b+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
117,08/02/2020 01:10,Female,23,160,0,53,Study and work,North America,México,Never,Completely non-climbing trip,Indoor climber,Sports climber,2,No,"Fun of the activity in itself, Health, For the social part of climbing",5,5,3,I perform random exercises as they feel appropiate,Less than an hour,Lead climbing area,I indoor climb because i like indoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Flexibility",Normal fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V10,V10,V10,V10,V11,V11,V11,V11,Stretch and warmup (before climbing),2,5.14d / 9a,5.14d / 9a,5.14c / 8c+,5.15a / 9a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 1 one attempt per day,3rd attempt of the day,I would simply work on it whenever I happen to be there again,
118,08/02/2020 01:30,Male,35,180,0,90,Work fulltime,Europe,Swiss,Around thrice a year,Mainly climbing trip but something else as well,Indoor climber,Both rather equally,15,Yes,"Fun of the activity in itself, Health, The places it takes you, For the challenge",2,2,2,I just climb more,More than 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V11,V12,V9,V10,V9,V8,V9,V8,"Climb an easy route, meant as a warmup",6,5.12a / 7a+,5.11c / 6c+,5.11a / 6b+,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
122,08/02/2020 04:50,Female,25,173,-5,58,Study,Europe,Switzerland,Around twice a year,Completely a climbing trip,Both rather equally,Sports climber,5,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,I perform random exercises as they feel appropiate,More than 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V5,V3,V5,V3,V4,V3,V4,Stretch and warmup (before climbing),10,5.12a / 7a+,5.12c / 7b+,5.11b / 6c,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
123,08/02/2020 04:57,Female,34,158,1,47,Work fulltime,Oceania,Australia,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,3,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,3,3,Follow a training program by myself,More than 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V5,V0,V2,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",5,5.10d / 6b+,5.11a / 6b+,5.10b / 6a+,5.11c / 6c+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
125,08/02/2020 06:06,Female,25,173,5,74,Study,Europe,England,Around twice a year,Completely a climbing trip,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,3,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Flexibility",Normal fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V2,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",8,5.11b / 6c,5.11c / 6c+,5.10b / 6a+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Last attempt of the day,I would simply work on it whenever I happen to be there again,
127,08/02/2020 07:03,Male,31,175,0,80,Work fulltime,Oceania,Australia ,Around once a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,9,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,1,I just climb more,1 to 2 hours,"Lead climbing area, Top rope area (without autobelay)",I indoor climb to improve my outdoor climbing,"Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V2,V5,V2,V4,V1,V3,V1,V3,"Climb an easy route, meant as a warmup",5,5.10d / 6b+,5.11b / 6c,5.10b / 6a+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
130,08/02/2020 10:51,Male,23,180,0,72,Study and work,Center or South America,Chile,More than once per month,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,4,No,"Fun of the activity in itself, Health, For the social part of climbing",3,2,2,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Route/problem-specific sequences, Flexibility",Tight fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V7,V9,V6,V9,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",6,5.12b / 7b,5.12c / 7b+,5.11c / 6c+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
133,08/02/2020 16:28,Female,20,157,0,63,Study,Europe,Britain ,Around once a year,Mainly climbing trip but something else as well,Indoor climber,Sports climber,6,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,3,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V5,V5,V3,V4,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",8,5.12b / 7b,5.12b / 7b,5.11b / 6c,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
135,08/02/2020 20:48,Male,50,165,0,54,Work fulltime,Asia,Hong kong,Around every 2 months,Trip that might have some climbing,Outdoor climber,Sports climber,25,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,0,I do not train,I do not train,Lead climbing area,I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Endurance, Power endurance, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V4,V2,V2,V2,V2,V2,V2,"Climb an easy route, meant as a warmup",4,5.10d / 6b+,5.11c / 6c+,5.10b / 6a+,5.10d / 6b+,Top-rope it first (sports),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
136,08/02/2020 23:57,Male,25,170,13,55,Work fulltime,North America,Mexico,Around thrice a year,Trip that might have some climbing,Both rather equally,Both rather equally,4,No,"Fun of the activity in itself, The places it takes you",2,2,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Flexibility, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V0,V0,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",3,5.11d / 7a,5.12c / 7b+,5.11a / 6b+,5.12a / 7a+,Top-rope it first (sports),Usually 2 attempts per day,Last attempt of the day,I would simply work on it whenever I happen to be there again,
137,09/02/2020 03:42,Male,20,175,0,66,Study,Europe,United Kingdom,Never,Mainly climbing trip but something else as well,Indoor climber,Sports climber,5,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",3,3,2,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strength, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V6,V3,V3,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",10,5.9 / 6a,5.11c / 6c+,5.9 / 6a,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
139,09/02/2020 05:18,Female,20,162,0,51,Study,Europe,england,More than once per month,Trip that might have some climbing,Indoor climber,Boulderer,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,2,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Core strength, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,Vegan,No,Stretch and warmup (before climbing),V4,V4,V3,V3,V3,V3,V3,V3,Stretch and warmup (before climbing),4,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
140,09/02/2020 06:22,Female,20,169,0,57,Study,Europe,Austria ,More than once per month,Completely non-climbing trip,Indoor climber,Boulderer,2,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",1,7,7,I just climb more,1 to 2 hours,"Bouldering area, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Trying more/different routes/problems, Flexibility",Normal fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V6,V6,V0,V0,V4,V5,V4,V5,Stretch and warmup (before climbing),10,5.9 / 6a,5.10b / 6a+,5.9 / 6a,5.9 / 6a,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
141,09/02/2020 09:52,Male,35,166,0,58,Work fulltime,Asia,Hong Kong,Around once a year,Mainly climbing trip but something else as well,Indoor climber,Boulderer,2.5,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,1,I perform random exercises as they feel appropiate,Less than an hour,"Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V5,V3,V4,V3,V5,V3,V5,Stretch and warmup (before climbing),6,5.10a / 6a+,5.11b / 6c,5.9 / 6a,5.11c / 6c+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
144,09/02/2020 17:57,Male,19,183,0,64,Study,Europe,The UK,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,4,Yes,"Fun of the activity in itself, The places it takes you, For the challenge",4,3,0,I perform random exercises as they feel appropiate,Less than an hour,,I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V6,V7,V5,V7,V5,V7,V5,V7,"Climb an easy route, meant as a warmup",7,5.11b / 6c,5.12b / 7b,5.11c / 6c+,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
148,09/02/2020 22:47,Female,30,150,0,44,Work fulltime,Asia,United Arab Emirates,Around twice a year,Trip that might have some climbing,Both rather equally,Both rather equally,1,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",4,2,1,I just climb more,2 to 3 hours,"Bouldering area, Top rope area (with autobelay)",I indoor climb because i like indoor climbing,"Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V1,V2,V1,V3,V1,V3,V1,V3,"Climb an easy route, meant as a warmup",4,5.10a / 6a+,5.10a / 6a+,5.8 / Fr(5) or lower,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
152,10/02/2020 04:21,Female,24,156,0,60,Study,Europe,netherlands,Around every 2 months,Trip that might have some climbing,Indoor climber,Boulderer,3,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",3,3,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Vegetarian,Yes,Stretch and warmup (before climbing),V3,V4,V3,V3,V2,V3,V2,V3,Stretch and warmup (before climbing),5,5.9 / 6a,5.10b / 6a+,5.9 / 6a,5.10b / 6a+,Try the holds and moves individually first (boulder),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
153,10/02/2020 07:26,Female,20,177,0,62,Study,North America,USA,Around once a year,Trip that might have some climbing,Both rather equally,Sports climber,1,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,3,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Power endurance, Trying more/different routes/problems",Tight fit,Vegetarian,Yes,Stretch and warmup (before climbing),V3,V5,V2,V2,V3,V3,V3,V3,Stretch and warmup (before climbing),6,5.11c / 6c+,5.12a / 7a+,5.11a / 6b+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,1st attempt of the day,I would simply work on it whenever I happen to be there again,
155,10/02/2020 11:54,Male,29,185,0,70,Work fulltime,Asia,UAE,Never,Completely non-climbing trip,Indoor climber,Both rather equally,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,1,Follow a training program with a coach,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V2,V2,V1,V1,V1,V1,V1,V1,Stretch and warmup (before climbing),4,5.8 / Fr(5) or lower,5.10c / 6b,5.9 / 6a,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
156,10/02/2020 19:11,Male,33,190,2,80,Study,Oceania,Australia,More than once per month,Trip that might have some climbing,Both rather equally,Both rather equally,5,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",2,1,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Finger strength, Core strength, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility","""Comfy fit""","No, I eat anything",No,Stretch and warmup (before climbing),V7,V8,V6,V7,V3,V4,V3,V4,Stretch and warmup (before climbing),30,5.10c / 6b,5.11a / 6b+,5.10a / 6a+,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
